County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
San Joaquin,1163.0,2878.0,143.0,2077.0,498.0,224.0,41.0,4.0,676.0,562.0,114.0,971.0,275.0,354.0,248.0,94.0,777.0,386.0,1027.0,136.0,23551.0,5694.0,17857.0,6928.0,2068.0,1846.0,1195.0,5415.0,1513.0,2779.0,2336.000000000002,1388.0000000000002,425.00000000000006,693589.0,171137.80337200203,160809.1736285487,33082.70155103627,78346.52582031948,443376.20437190647,221379.65699537663,223704.6047075285,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,596.0,661.0,30.0,442.0,124.0,73.0,25.0,3.0,207.0,147.0,60.0,281.0,165.0,73.0,31.0,12.0,317.0,279.0,507.0,89.0,3870.0,680.0,3190.0,2293.0,600.0,481.0,709.0,1767.0,526.0,1602.0000000000005,504.0000000000001,125.99999999999996,61.00000000000001,270739.0,136950.60868562668,36984.94079306763,4770.414198435795,11857.259302792314,190563.2229799224,99121.49425334434,91327.85516186433,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,913.0,1395.0,89.0,978.0,240.0,181.0,71.0,11.0,428.0,337.0,91.0,612.0,163.0,198.0,149.0,102.0,595.0,318.0,800.0,113.0,9828.0,1576.0,8252.0,4595.0,1117.0,1103.0,1548.0,3664.0,931.0,1382.0,1513.0000000000002,795.9999999999998,904.0000000000002,725245.0,206396.29969523873,126227.62515898552,14146.830958596183,151963.31155088748,498734.06736370793,245845.41678505507,261883.2853654826,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,888.0,1296.0,96.0,837.0,209.0,216.0,80.0,6.0,320.0,231.0,89.0,502.0,153.0,291.0,40.0,18.0,669.0,219.0,788.0,100.0,6430.0,1657.0,4773.0,3362.0,1058.0,681.0,879.0,2654.0,708.0,1370.0,1692.0000000000005,186.99999999999997,113.00000000000004,425840.0,140821.9988879562,118641.5562139942,5756.419168707721,22969.49216692109,288189.4664375792,146912.59025472155,142183.25658176895,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,3415.0,4748.0,188.0,3435.0,760.0,474.0,154.0,16.0,1627.0,1090.0,537.0,1764.0,349.0,924.0,273.0,218.0,2448.0,967.0,2982.0,433.0,27530.0,4564.0,22966.0,11469.0,3241.0,2526.0,3296.0,9105.0,2364.0,3261.0000000000005,5520.000000000003,1249.9999999999995,1438.0,1805861.0,442426.3592881545,315199.4488641847,33629.430464854304,442994.0996282216,1234249.3382454151,620149.5118090499,614946.5678568453,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,381.0,490.0,25.0,359.0,64.0,47.0,14.0,3.0,101.0,89.0,12.0,134.0,50.0,66.0,15.0,3.0,231.0,150.0,348.0,33.0,5934.0,1169.0,4765.0,2601.0,578.0,586.0,870.0,2089.0,512.0,1420.0000000000002,992.0,139.00000000000006,49.99999999999998,264824.0,117121.51926988232,56150.657045660686,1871.536671627245,14895.614690787595,190039.32767795783,94745.22984816636,93758.30400052208,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,234.0,1217.0,122.0,661.0,282.0,264.0,101.0,15.0,403.0,325.0,78.0,399.0,315.0,39.0,19.0,26.0,169.0,65.0,204.0,30.0,4222.0,1302.0,2920.0,1777.0,380.0,418.0,377.0,1268.0,509.0,1481.0000000000002,96.0,106.0,94.0,177675.0,97493.55200411244,9548.372419509124,917.4338940379008,9964.75670751583,117924.11502517528,58463.09134202146,60100.983401054014,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,6.0,13.0,0.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,47.0,5.0,42.0,36.0,13.0,7.0,6.0,33.0,3.0,32.0,3.0,0.0,1.0,3179.0,1991.176388866536,151.31239227914708,3.737423140700256,47.91596791725988,2194.142172203643,1146.426235998627,1097.060812660484,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,96.0,212.0,10.0,131.0,47.0,26.0,2.0,2.0,50.0,42.0,8.0,52.0,37.0,6.0,6.0,3.0,80.0,16.0,88.0,8.0,631.0,155.0,476.0,577.0,156.0,95.0,153.0,463.0,114.0,436.99999999999994,59.0,35.000000000000014,46.0,44750.0,24120.60581164343,2825.0439712043553,377.8001674053926,2557.6129963867097,29881.06294663989,15309.949344944092,15006.85924001109,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,774.0,1273.0,78.0,901.0,208.0,151.0,46.0,9.0,230.0,193.0,37.0,452.0,120.0,90.0,206.0,36.0,562.0,212.0,679.0,95.0,9825.0,1802.0,8023.0,4284.0,1215.0,1059.0,998.0,3307.0,977.0,1756.9999999999995,597.9999999999999,1670.9999999999998,258.0,413635.0,122905.12347548074,62080.99566147579,41133.53277283571,56374.04014136415,282493.69205115637,139434.21645157182,141783.6861886413,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,960.0,1098.0,71.0,730.0,226.0,104.0,32.0,2.0,219.0,192.0,27.0,394.0,181.0,140.0,45.0,28.0,459.0,501.0,857.0,103.0,5690.0,1702.0,3988.0,4615.0,1126.0,862.0,1871.0,3559.0,1056.0,3008.0,1057.0,325.99999999999994,223.9999999999999,486479.0,229398.7121213399,76356.90805972232,5227.090831611151,23620.795323231898,334603.50633590523,164890.96814583123,169933.30796365306,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,1110.0,2020.0,129.0,1084.0,542.0,357.0,182.0,7.0,593.0,480.0,113.0,752.0,351.0,275.0,84.0,42.0,847.0,263.0,989.0,121.0,14057.0,2484.0,11573.0,7201.0,1633.0,1704.0,2110.0,5633.0,1568.0,3572.9999999999995,2740.0,607.9999999999999,279.9999999999999,518461.0,167807.19216923072,129995.4850859644,7714.003446282,28180.670081016782,333697.3507824939,165192.86230687442,169054.3949569298,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,162.0,317.0,27.0,198.0,63.0,55.0,22.0,3.0,27.0,20.0,7.0,191.0,108.0,51.0,15.0,17.0,137.0,25.0,141.0,21.0,1842.0,343.0,1499.0,1112.0,362.0,318.0,211.0,825.0,287.0,660.0000000000001,283.0,88.00000000000003,81.00000000000001,95351.0,31968.285169764877,16329.68066292934,1203.9502459481105,11208.049194599953,60709.96527324228,30304.73284174544,30670.45187727651,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,182.0,399.0,31.0,204.0,72.0,112.0,27.0,24.0,105.0,84.0,21.0,185.0,111.0,60.0,10.0,4.0,114.0,68.0,156.0,26.0,1108.0,348.0,760.0,1037.0,187.0,235.0,458.0,759.0,278.0,752.9999999999999,210.99999999999997,30.999999999999996,42.0,63798.0,30064.424810412416,8207.711608021486,225.80722635248748,2209.7052412193443,40707.648886005736,20441.18238876193,20646.519149434556,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,53.0,39.0,1.0,31.0,3.0,4.0,2.0,3.0,10.0,6.0,4.0,15.0,11.0,3.0,0.0,1.0,13.0,40.0,43.0,10.0,150.0,34.0,116.0,325.0,71.0,38.0,146.0,250.0,75.0,281.0,32.0,4.000000000000001,7.999999999999999,13555.0,7837.093981449324,648.4506451287804,31.555111294923144,867.9209111982,9385.020649071228,5186.605597341469,4661.379805786484,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,1494.0,2512.0,141.0,1648.0,480.0,299.0,97.0,10.0,671.0,563.0,108.0,664.0,181.0,424.0,37.0,22.0,793.0,701.0,1296.0,198.0,11015.0,1905.0,9110.0,6662.0,1714.0,1531.0,1911.0,5084.0,1578.0,2082.999999999999,4024.0000000000023,353.99999999999994,201.0,448965.0,97635.54851924404,158819.30646842203,3750.961023475742,14756.862468253295,274962.6784793951,138398.24075779645,136956.85123974885,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,120.0,236.0,17.0,129.0,36.0,56.0,17.0,2.0,71.0,65.0,6.0,83.0,69.0,7.0,1.0,6.0,69.0,51.0,93.0,27.0,865.0,106.0,759.0,862.0,131.0,153.0,350.0,617.0,245.0,727.0000000000001,96.0,13.000000000000004,26.000000000000004,54393.0,30558.785654905947,4236.527664498504,1082.7594972477343,1898.5761504155453,37776.64896706773,20553.487647134967,17399.778799931963,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,1408.0,1886.0,106.0,1232.0,312.0,282.0,82.0,3.0,456.0,379.0,77.0,630.0,209.0,369.0,35.0,17.0,900.0,508.0,1216.0,192.0,8896.0,1705.0,7191.0,7580.0,1933.0,1597.0,2352.0,5836.0,1744.0,3139.999999999998,3915.999999999997,343.99999999999994,180.0,830215.0,278810.78817238746,213253.00585014277,9644.66049378315,51423.816941691155,553132.2714580045,274931.3757625175,278325.7176830845,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,399.0,878.0,65.0,444.0,214.0,206.0,71.0,7.0,276.0,248.0,28.0,385.0,163.0,142.0,53.0,27.0,280.0,119.0,347.0,52.0,3410.0,569.0,2841.0,1944.0,457.0,449.0,533.0,1502.0,442.0,908.9999999999995,641.0,272.0,121.99999999999996,201645.0,73600.60311200553,39224.24542066459,3837.965176385859,27046.441449489794,143709.25515854577,68843.90307827012,72730.2331739724,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,414.0,419.0,25.0,286.0,73.0,47.0,13.0,4.0,62.0,49.0,13.0,204.0,138.0,34.0,21.0,11.0,344.0,70.0,359.0,55.0,1611.0,341.0,1270.0,1331.0,447.0,300.0,250.0,1024.0,307.0,939.0,201.99999999999997,122.0,67.99999999999999,72554.0,29389.81630745219,10349.232977807176,1455.1358101112144,5694.445190075174,46888.63028544575,23739.01061142679,23517.65842373249,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,3283.0,3472.0,126.0,3233.0,237.0,50.0,11.0,3.0,625.0,134.0,491.0,683.0,70.0,152.0,412.0,49.0,2275.0,1008.0,3010.0,273.0,,11898.999999999996,,11852.999999999993,3004.0,3045.0,3552.0,9416.999999999993,2436.0,2969.0000000000005,2519.999999999999,5251.0,1112.9999999999998,,,,,,,530094.8651197713,547267.1348802287,56398.0,,2012,3598.0,375.0,573.0,2399.0,251.0,666.0,17.0,471.0,103.0,22.0,51195.00000000003,39296.00000000003,1539357.0,375244.0,234771.0,133487.0,333860.0,1077362.0,,,,,,,,,,,,,,,
Alpine,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.999999999999998,,22.0,5.0,8.0,7.0,20.0,2.0,15.0,2.0,0.0,5.0,,,,,,,413.7981691514884,365.2018308485116,,,2012,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,1106.0,601.0,35.0,0.0,143.0,779.0,,,,,,,,,,,,,,,
Amador,84.0,123.0,3.0,76.0,17.0,17.0,14.0,1.0,54.0,13.0,41.0,46.0,34.0,5.0,2.0,5.0,46.0,38.0,71.0,13.0,,130.0,,460.0,93.0,58.0,116.0,315.0,145.0,346.00000000000006,61.999999999999986,25.0,27.000000000000007,,,,,,,14318.866858951773,11090.133141048227,,,2012,126.0,84.0,15.0,10.0,17.0,42.0,4.0,25.0,7.0,6.0,597.9999999999999,467.9999999999999,36471.0,19696.0,3495.0,882.0,1336.0,25409.0,,,,,,,,,,,,,,,
Butte,593.0,880.0,51.0,583.0,136.0,122.0,59.0,8.0,151.0,42.0,109.0,315.0,216.0,41.0,40.0,18.0,447.0,146.0,530.0,63.0,,684.0000000000003,,2611.0000000000005,630.0,585.0,1000.0,1932.0,679.0000000000006,2066.000000000001,276.99999999999994,149.0,119.0,,,,,,,75777.85315404626,75108.14684595374,,,2012,931.0,623.0,144.0,115.0,49.0,289.0,26.0,148.0,53.0,55.0,4182.999999999999,3498.999999999999,221056.0,113539.0,21323.0,2314.0,13710.0,150886.0,,,,,,,,,,,,,,,
Calaveras,69.0,88.0,5.0,56.0,12.0,9.0,4.0,0.0,17.0,1.0,16.0,37.0,31.0,5.0,0.0,1.0,37.0,32.0,59.0,10.0,,101.0,,532.0,149.0,100.0,150.0,382.0,150.0,457.99999999999994,45.999999999999986,9.0,19.0,,,,,,,15129.587752451987,15098.412247548013,,,2012,93.0,69.0,17.0,1.0,6.0,35.0,2.0,9.0,5.0,7.0,789.9999999999998,688.9999999999998,45683.0,25417.0,3001.0,237.0,1573.0,30228.0,,,,,,,,,,,,,,,
Colusa,61.0,57.0,5.0,46.0,11.0,2.0,0.0,0.0,8.0,3.0,5.0,14.0,7.0,6.0,1.0,0.0,41.0,20.0,50.0,11.0,,45.999999999999986,,327.0,56.0,48.0,80.0,239.0,88.0,174.00000000000006,111.0,25.000000000000004,17.0,,,,,,,7051.924725184333,6653.075274815667,,,2012,62.0,29.0,28.0,3.0,2.0,12.0,2.0,9.0,2.0,1.0,407.99999999999994,361.99999999999994,21472.0,5721.0,7348.0,114.0,522.0,13705.0,,,,,,,,,,,,,,,
Contra Costa,1451.0,1719.0,51.0,1498.0,151.0,57.0,6.0,1.0,319.0,83.0,236.0,382.0,110.0,85.0,164.0,23.0,1140.0,311.0,1280.0,171.0,,4382.999999999998,,10360.0,2204.0,2945.0,3200.0,8187.0,2173.0,4047.0,2041.0000000000005,3644.999999999998,626.9999999999998,,,,,,,352073.2843003132,368256.7156996868,,,2012,1770.0,447.0,358.0,845.0,120.0,370.0,12.0,241.0,79.0,16.0,26772.999999999985,22389.999999999985,1069607.0,353197.0,168905.0,64490.0,133738.0,720330.0,,,,,,,,,,,,,,,
Del Norte,92.0,122.0,7.0,78.0,20.0,14.0,3.0,2.0,18.0,7.0,11.0,49.0,35.0,2.0,1.0,11.0,48.0,44.0,75.0,17.0,,155.0,,440.0,138.0,70.0,136.0,319.0,121.0,358.0000000000001,23.0,9.0,50.0,,,,,,,11620.674154994442,8248.325845005558,,,2012,129.0,92.0,10.0,8.0,19.0,45.0,4.0,18.0,13.0,8.0,644.9999999999998,489.9999999999997,28462.0,12699.0,3738.0,1105.0,2327.0,19869.0,,,,,,,,,,,,,,,
El Dorado,374.0,365.0,23.0,263.0,60.0,38.0,18.0,0.0,100.0,17.0,83.0,132.0,99.0,17.0,4.0,12.0,181.0,193.0,321.0,53.0,,444.0000000000001,,1749.0,442.0,311.0,529.0,1308.0,441.0,1457.0000000000002,177.0,62.000000000000014,53.00000000000001,,,,,,,61629.52461615053,61262.47538384947,,,2012,388.0,297.0,50.0,19.0,22.0,125.0,7.0,67.0,20.0,22.0,2350.0000000000005,1906.0,182845.0,98843.0,14267.0,879.0,8903.0,122892.0,,,,,,,,,,,,,,,
Fresno,2791.0,3649.0,179.0,2712.0,524.0,243.0,146.0,10.0,1078.0,207.0,871.0,1300.0,256.0,762.0,217.0,65.0,1900.0,891.0,2517.0,274.0,,5103.999999999997,,19237.0,3661.0,3357.0,4677.0,16031.0,3206.0,4838.000000000001,10749.000000000007,2538.999999999999,1111.000000000001,,,,,,,305076.7851470614,298928.2148529386,,,2012,3828.0,772.0,1947.0,828.0,281.0,1211.0,89.0,695.0,239.0,117.0,31473.99999999999,26369.999999999993,948790.0,208472.0,293892.0,30644.0,70997.0,604005.0,,,,,,,,,,,,,,,
Glenn,89.0,99.0,3.0,63.0,13.0,14.0,4.0,2.0,26.0,2.0,24.0,30.0,14.0,12.0,1.0,3.0,66.0,23.0,77.0,12.0,,78.0,,402.0,108.0,96.0,73.0,317.0,85.0,236.0,127.0,9.000000000000004,29.999999999999993,,,,,,,9128.133433549823,8767.866566450177,,,2012,102.0,52.0,37.0,4.0,9.0,29.0,1.0,15.0,4.0,5.0,543.0000000000005,465.0000000000004,28136.0,10108.0,6621.0,126.0,1041.0,17896.0,,,,,,,,,,,,,,,
Humboldt,369.0,381.0,20.0,304.0,40.0,36.0,12.0,4.0,49.0,6.0,43.0,131.0,82.0,7.0,8.0,34.0,247.0,122.0,319.0,50.0,,389.00000000000017,,2369.0,462.0,430.0,840.0,1777.0,592.0,1915.0000000000005,165.99999999999997,85.99999999999999,202.00000000000009,,,,,,,49127.92270925124,46962.07729074876,,,2012,401.0,260.0,33.0,21.0,87.0,119.0,12.0,76.0,23.0,14.0,2967.999999999999,2578.999999999999,134644.0,75699.0,8958.0,1143.0,10290.0,96090.0,,,,,,,,,,,,,,,
Imperial,496.0,310.0,12.0,210.0,44.0,49.0,19.0,1.0,61.0,14.0,47.0,103.0,18.0,66.0,10.0,9.0,323.0,173.0,445.0,51.0,,499.99999999999994,,2638.0,559.0,705.0,886.0,2087.0,551.0,505.0,1902.999999999999,152.00000000000003,77.99999999999999,,,,,,,59633.84502801027,54529.15497198973,,,2012,322.0,47.0,227.0,31.0,17.0,100.0,3.0,46.0,20.0,22.0,3775.0000000000023,3275.0000000000027,178204.0,16574.0,90027.0,4857.0,2705.0,114163.0,,,,,,,,,,,,,,,
Inyo,73.0,42.0,3.0,36.0,4.0,4.0,0.0,0.0,5.0,1.0,4.0,6.0,3.0,1.0,0.0,2.0,37.0,36.0,64.0,9.0,,83.0,,223.0,72.0,42.0,67.0,174.0,49.0,122.0,38.0,0.0,62.99999999999999,,,,,,,6385.090538398707,6009.909461601293,,,2012,45.0,26.0,5.0,2.0,12.0,6.0,0.0,2.0,3.0,1.0,254.00000000000009,171.00000000000009,18904.0,8386.0,2231.0,85.0,1693.0,12395.0,,,,,,,,,,,,,,,
Kern,2593.0,3544.0,151.0,2178.0,617.0,531.0,266.0,14.0,1386.0,402.0,984.0,1251.0,380.0,609.0,242.0,20.0,2029.0,564.0,2299.0,294.0,,4975.9999999999945,,13935.0,3665.0,3801.0,3720.0,11217.0,2718.0,5422.000000000001,6210.0,2065.999999999998,237.00000000000009,,,,,,,289122.7395227038,261156.2604772962,,,2012,3695.0,1066.0,1682.0,863.0,84.0,1186.0,65.0,514.0,280.0,184.0,28719.00000000003,23743.000000000033,856282.0,225853.0,259245.0,30549.0,34632.0,550279.0,,,,,,,,,,,,,,,
Kings,491.0,1175.0,59.0,769.0,158.0,177.0,80.0,3.0,437.0,137.0,300.0,392.0,93.0,222.0,56.0,21.0,266.0,225.0,411.0,80.0,,766.9999999999998,,2271.0,535.0,375.0,585.0,1702.0,569.0,728.0000000000001,1170.0000000000002,253.0,120.0,,,,,,,60903.7349963884,40618.2650036116,,,2012,1234.0,293.0,653.0,222.0,66.0,364.0,28.0,202.0,58.0,62.0,2617.0000000000005,1850.000000000001,150718.0,38012.0,47770.0,9194.0,6546.0,101522.0,,,,,,,,,,,,,,,
Lake,293.0,291.0,10.0,197.0,41.0,32.0,11.0,1.0,67.0,13.0,54.0,93.0,56.0,13.0,9.0,15.0,163.0,130.0,255.0,38.0,,376.0,,1152.0,327.0,165.0,394.0,897.0,255.0,872.0000000000001,152.0,66.0,62.00000000000001,,,,,,,22028.73372949409,21602.26627050591,,,2012,301.0,189.0,38.0,35.0,39.0,89.0,4.0,52.0,11.0,14.0,1612.0,1236.0,64394.0,33093.0,6905.0,803.0,2830.0,43631.0,,,,,,,,,,,,,,,
Lassen,122.0,103.0,8.0,70.0,17.0,11.0,4.0,0.0,34.0,15.0,19.0,26.0,18.0,6.0,1.0,1.0,53.0,69.0,100.0,22.0,,132.00000000000006,,338.0,106.0,77.0,67.0,248.0,90.0,277.0,29.0,13.999999999999998,18.0,,,,,,,17510.93230985423,8114.06769014577,,,2012,111.0,68.0,22.0,10.0,11.0,24.0,2.0,9.0,6.0,6.0,431.9999999999996,299.99999999999955,33378.0,16540.0,4550.0,2941.0,1594.0,25625.0,,,,,,,,,,,,,,,
Los Angeles,18154.0,44195.0,2114.0,32817.0,6049.0,4374.0,1762.0,198.0,15377.0,3241.0,12136.0,10610.0,1429.0,5094.0,3672.0,415.0,9849.0,8305.0,15723.0,2431.0,,44555.99999999994,,104203.00000000016,26940.0,25610.0,32796.0,82997.00000000016,21206.0,21190.00000000003,50818.00000000001,27217.000000000025,4977.999999999999,,,,,,,3376509.767693989,3423619.232306011,,,2012,46309.0,5150.0,21080.0,17654.0,2425.0,9845.0,765.0,4654.0,2544.0,1749.0,195132.00000000023,150576.00000000032,9945031.0,1954470.0,3157192.0,562391.0,1126076.0,6800129.0,,,,,,,,,,,,,,,
Madera,447.0,467.0,56.0,354.0,64.0,70.0,34.0,1.0,188.0,44.0,144.0,184.0,55.0,109.0,11.0,9.0,343.0,104.0,390.0,57.0,,934.0,,1704.0,401.0,376.0,439.0,1395.0,309.0,522.0,999.0000000000005,130.00000000000003,52.99999999999999,,,,,,,46508.404534270776,51184.595465729224,,,2012,523.0,143.0,275.0,78.0,27.0,168.0,16.0,96.0,39.0,19.0,3835.0,2901.0,151329.0,38006.0,51227.0,4108.0,4352.0,97693.0,,,,,,,,,,,,,,,
Marin,253.0,327.0,10.0,222.0,61.0,22.0,11.0,0.0,119.0,47.0,72.0,82.0,36.0,21.0,21.0,4.0,188.0,65.0,218.0,35.0,,489.9999999999998,,1661.0,455.0,427.0,496.0,1283.0,378.0,923.0,351.0,316.00000000000017,71.00000000000001,,,,,,,86204.13290029528,87687.86709970472,,,2012,337.0,154.0,70.0,92.0,21.0,75.0,7.0,43.0,16.0,3.0,3686.000000000001,3196.000000000001,253991.0,125051.0,28152.0,5743.0,14946.0,173892.0,,,,,,,,,,,,,,,
Mariposa,39.0,49.0,1.0,35.0,7.0,1.0,1.0,0.0,17.0,6.0,11.0,11.0,7.0,2.0,0.0,2.0,17.0,22.0,34.0,5.0,,71.00000000000001,,188.0,62.0,24.0,51.0,131.0,57.0,145.0,25.0,3.0,14.999999999999998,,,,,,,6181.978100425474,5946.021899574526,,,2012,50.0,40.0,3.0,1.0,6.0,11.0,0.0,4.0,3.0,1.0,254.00000000000009,183.00000000000009,18361.0,10140.0,1064.0,100.0,824.0,12128.0,,,,,,,,,,,,,,,
Mendocino,255.0,301.0,16.0,228.0,20.0,30.0,4.0,1.0,43.0,4.0,39.0,105.0,68.0,15.0,3.0,19.0,157.0,98.0,222.0,33.0,,357.99999999999983,,1458.0,372.0,277.0,514.0,1124.0,334.0,1047.9999999999998,194.99999999999991,48.99999999999999,165.99999999999997,,,,,,,30577.57153662098,29638.42846337902,,,2012,317.0,188.0,55.0,18.0,56.0,96.0,9.0,58.0,14.0,10.0,1405.0000000000002,1047.0000000000005,88568.0,42687.0,12359.0,437.0,4733.0,60216.0,,,,,,,,,,,,,,,
Merced,802.0,811.0,27.0,584.0,113.0,58.0,21.0,1.0,242.0,41.0,201.0,283.0,68.0,153.0,37.0,25.0,589.0,213.0,742.0,60.0,,1832.999999999999,,3385.0,819.0,801.0,963.0,2704.0,681.0,1057.0,1765.0000000000005,388.99999999999994,174.0,,,,,,,83537.523859978,81132.476140022,,,2012,838.0,196.0,448.0,124.0,70.0,268.0,15.0,138.0,58.0,30.0,7528.0,5695.000000000001,261062.0,58348.0,86013.0,5885.0,14424.0,164670.0,,,,,,,,,,,,,,,
Modoc,29.0,16.0,1.0,13.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,18.0,11.0,25.0,4.0,,69.00000000000001,,227.0,71.0,31.0,42.0,149.0,78.0,182.99999999999997,22.0,1.0000000000000002,21.0,,,,,,,3112.099226493437,3091.900773506563,,,2012,17.0,9.0,3.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,166.0,97.0,9431.0,4993.0,806.0,56.0,349.0,6204.0,,,,,,,,,,,,,,,
Mono,26.0,18.0,1.0,12.0,4.0,0.0,0.0,0.0,7.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,12.0,14.0,25.0,1.0,,43.999999999999986,,93.0,32.0,20.0,24.0,75.0,18.0,70.00000000000001,13.0,3.0,6.999999999999999,,,,,,,5604.5021176589225,4817.4978823410775,,,2012,19.0,7.0,9.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,203.99999999999991,159.99999999999994,14377.0,7546.0,2444.0,29.0,403.0,10422.0,,,,,,,,,,,,,,,
Monterey,1069.0,1516.0,59.0,1098.0,170.0,166.0,50.0,5.0,459.0,43.0,416.0,457.0,85.0,282.0,63.0,27.0,765.0,304.0,908.0,161.0,,1866.0000000000005,,3941.999999999999,1135.0,926.0,1077.0,3065.0,876.9999999999994,1080.0000000000002,2406.999999999999,297.00000000000006,158.00000000000009,,,,,,,146110.21764669876,133310.78235330124,,,2012,1575.0,293.0,996.0,221.0,65.0,431.0,26.0,202.0,90.0,76.0,8431.000000000002,6565.000000000002,421486.0,92983.0,152450.0,8625.0,25363.0,279421.0,,,,,,,,,,,,,,,
